"codigo_contrato","numero_contrato","codigo_cliente","codigo_veiculo","codigo_grupo_contrato","valor_tarifa","codigo_empresa","data_hora_inicio","data_hora_termino","codigo_status","inserido_em","modificado_em"
"597310","45","36441","7764","7887",5862.94,"167",2026-06-30 20:00:00.000 -0400,2026-07-31 19:59:00.000 -0400,"1",2026-06-30 11:14:53.000 -0400,2026-07-08 05:01:10.447 -0400
"595032","171","36426","10386","2250",2952.00,"167",2026-06-30 20:00:00.000 -0400,2026-07-31 19:59:00.000 -0400,"1",2026-06-29 08:54:11.000 -0400,2026-06-29 08:54:11.000 -0400
"122152","317","36317","8830","2214",2232.00,"167",2025-06-30 20:00:00.000 -0400,2025-07-31 19:59:00.000 -0400,"5",2025-06-27 10:18:54.000 -0400,2025-07-28 08:23:16.000 -0400
"133174","324","36317","8830","2214",2232.00,"167",2025-07-31 20:00:00.000 -0400,2025-08-31 19:59:00.000 -0400,"5",2025-07-28 08:23:16.000 -0400,2025-08-27 17:39:31.740 -0400
"148996","331","36317","8830","2214",2232.00,"167",2025-08-31 20:00:00.000 -0400,2025-09-30 19:59:00.000 -0400,"5",2025-08-27 14:39:31.000 -0400,2025-09-29 09:24:05.573 -0400
"160439","338","36317","8830","2214",2232.00,"167",2025-09-30 20:00:00.000 -0400,2025-10-31 19:59:00.000 -0400,"5",2025-09-29 06:24:05.000 -0400,2025-10-28 11:27:50.773 -0400
"174516","345","36317","8830","2214",2232.00,"167",2025-10-31 20:00:00.000 -0400,2025-11-30 19:59:00.000 -0400,"5",2025-10-28 08:27:50.000 -0400,2025-11-28 12:05:47.223 -0400
"186840","352","36317","8830","2214",2232.00,"167",2025-11-30 20:00:00.000 -0400,2025-12-31 19:59:00.000 -0400,"5",2025-11-28 09:05:47.000 -0400,2025-12-26 08:29:07.503 -0400
"215612","359","36317","8830","2214",2232.00,"167",2025-12-31 20:00:00.000 -0400,2026-01-31 19:59:00.000 -0400,"5",2025-12-26 05:29:07.000 -0400,2026-01-26 09:44:40.897 -0400
"238048","366","36317","8830","2214",2232.00,"167",2026-01-31 20:00:00.000 -0400,2026-02-28 19:59:00.000 -0400,"5",2026-01-26 06:44:40.000 -0400,2026-02-27 07:55:03.000 -0400
"267912","373","36317","8830","2214",2232.00,"167",2026-02-28 20:00:00.000 -0400,2026-03-31 19:59:00.000 -0400,"5",2026-02-27 07:55:03.000 -0400,2026-03-30 08:00:54.920 -0400
"338539","381","36317","8830","2214",2232.00,"167",2026-03-31 20:00:00.000 -0400,2026-04-30 19:59:00.000 -0400,"5",2026-03-30 05:00:54.000 -0400,2026-04-30 08:01:09.783 -0400
"531898","388","36317","8830","2214",2232.00,"167",2026-04-30 20:00:00.000 -0400,2026-05-31 19:59:00.000 -0400,"5",2026-04-30 05:01:09.000 -0400,2026-05-30 08:01:11.413 -0400
"579154","397","36317","8830","2214",2232.00,"167",2026-05-31 20:00:00.000 -0400,2026-06-30 19:59:00.000 -0400,"5",2026-05-30 05:01:11.000 -0400,2026-06-30 09:55:52.943 -0400
"595527","404","36317","8830","2214",2232.00,"167",2026-06-30 20:00:00.000 -0400,2026-07-31 19:59:00.000 -0400,"1",2026-06-30 06:55:52.000 -0400,2026-07-17 05:01:24.883 -0400
"588884","62","36318","27465","2212",1992.00,"167",2026-05-31 20:00:00.000 -0400,2026-06-30 19:59:00.000 -0400,"5",2026-06-16 12:19:26.000 -0400,2026-06-30 06:59:46.000 -0400
"595583","63","36318","27465","2212",1992.00,"167",2026-06-30 20:00:00.000 -0400,2026-07-31 19:59:00.000 -0400,"1",2026-06-30 06:59:46.000 -0400,2026-07-17 05:04:16.670 -0400
"282430","11","36320","26691","4708",2700.00,"167",2026-02-28 19:59:00.000 -0400,2026-03-28 19:59:00.000 -0400,"5",2026-03-12 06:45:55.000 -0400,2026-03-30 08:02:05.657 -0400
"338576","12","36320","26691","4708",2700.00,"167",2026-03-28 19:59:00.000 -0400,2026-04-28 10:49:00.000 -0400,"5",2026-03-30 05:02:05.000 -0400,2026-04-28 11:51:00.000 -0400
"534887","1","36320","26691","21446",2850.00,"167",2026-05-01 19:59:00.000 -0400,2026-06-01 19:59:00.000 -0400,"5",2026-05-02 08:01:15.000 -0400,2026-06-01 11:38:31.710 -0400
"581410","2","36320","26691","21446",2850.00,"167",2026-06-01 19:59:00.000 -0400,2026-07-01 19:59:00.000 -0400,"5",2026-06-01 08:38:31.000 -0400,2026-07-03 09:02:08.000 -0400
"600279","3","36320","26691","21446",2850.00,"167",2026-07-01 19:59:00.000 -0400,2026-08-01 19:59:00.000 -0400,"1",2026-07-03 09:02:08.000 -0400,2026-07-17 05:03:52.080 -0400
"127092","1","36506","12572","7689",3790.00,"167",2025-07-04 07:16:00.000 -0400,2025-08-04 19:59:00.000 -0400,"5",2025-07-04 10:13:22.000 -0400,2025-07-30 05:29:57.000 -0400
"133739","2","36506","12572","7689",3790.00,"167",2025-08-04 19:59:00.000 -0400,2025-09-04 19:59:00.000 -0400,"5",2025-07-30 05:29:57.000 -0400,2025-08-28 07:33:41.000 -0400
"149122","3","36506","12572","7689",3790.00,"167",2025-09-04 19:59:00.000 -0400,2025-10-04 19:59:00.000 -0400,"5",2025-08-28 07:33:41.000 -0400,2025-09-29 10:22:16.570 -0400
"160481","4","36506","12572","7689",3790.00,"167",2025-10-04 19:59:00.000 -0400,2025-11-04 19:59:00.000 -0400,"5",2025-09-29 07:22:16.000 -0400,2025-10-30 06:14:28.000 -0400
"175405","5","36506","12572","7689",3790.00,"167",2025-11-04 19:59:00.000 -0400,2025-12-04 19:59:00.000 -0400,"5",2025-10-30 06:14:28.000 -0400,2025-11-28 09:35:04.000 -0400
