"placa","fornecedor","hodometro_km","placa_fonte","latitude","longitude","ignicao","event_date","update_date","chassi","codigo_fonte","dados_fonte","sincronizado_em","updated_at"
TRX4D70,RastroSiga,27527.0,TRX-4D70,-3.070803333333333,-60.00507111111111,false,2026-07-15 16:44:09.000 -0400,2026-07-15 16:44:10.952 -0400,"9BWBH6BF5S4090222","2492","{""Plate"": ""TRX-4D70"", ""Driver"": null, ""Address"": ""Rua Alexandre Magno, Parque Dez de Novembro, Manaus, AM, Brasil, 69000-000"", ""IdEvent"": 2, ""Ignition"": false, ""Latitude"": -3.070803333333333, ""ValidGPS"": true, ""Available"": null, ""EventDate"": ""2026-07-15T20:44:09Z"", ""Longitude"": -60.00507111111111, ""IdPosition"": 278578675, ""UpdateDate"": ""2026-07-15T20:44:10.952Z"", ""ListTrailer"": null, ""TrackedUnit"": ""TRX-4D70"", ""TrackerSlot"": 1, ""IdTrackedUnit"": 2492, ""ListTelemetry"": {""2"": 13.0, ""6"": 261.0, ""8"": 100.0, ""15"": 27527.0, ""17"": 0.0}, ""DocumentNumber"": null, ""ListInputSensor"": {""17"": false}, ""IdTrackedUnitType"": 1, ""ListOutputActuator"": {}, ""DriverIdentification"": null, ""IdMainBatteryMeasureUnit"": 1, ""DistanceFromGeographicArea"": null, ""IdBackupBatteryMeasureUnit"": 2, ""TrackedUnitIntegrationCode"": null, ""PersonIntegrationCodeCenter"": """", ""PersonIntegrationCodeClient"": null}",2026-07-10 16:53:42.952 -0400,2026-07-15 23:23:16.507 -0400
QZY2J60,RastroSiga,18282.0,QZY-2J60,-3.070806666666667,-60.00512444444444,false,2026-07-14 09:05:28.000 -0400,2026-07-14 09:05:29.411 -0400,"9BWCH6CH6RP083096","2452","{""Plate"": ""QZY-2J60"", ""Driver"": null, ""Address"": ""Rua Alexandre Magno, Parque Dez de Novembro, Manaus, AM, Brasil, 69000-000"", ""IdEvent"": 2, ""Ignition"": false, ""Latitude"": -3.070806666666667, ""ValidGPS"": true, ""Available"": null, ""EventDate"": ""2026-07-14T13:05:28Z"", ""Longitude"": -60.00512444444444, ""IdPosition"": 277567561, ""UpdateDate"": ""2026-07-14T13:05:29.411Z"", ""ListTrailer"": null, ""TrackedUnit"": ""QZY-2J60"", ""TrackerSlot"": 1, ""IdTrackedUnit"": 2452, ""ListTelemetry"": {""2"": 13.0, ""6"": 0.0, ""8"": 100.0, ""15"": 18282.0, ""17"": 0.0}, ""DocumentNumber"": null, ""ListInputSensor"": {""17"": false}, ""IdTrackedUnitType"": 1, ""ListOutputActuator"": {""33"": false}, ""DriverIdentification"": null, ""IdMainBatteryMeasureUnit"": 1, ""DistanceFromGeographicArea"": null, ""IdBackupBatteryMeasureUnit"": 2, ""TrackedUnitIntegrationCode"": null, ""PersonIntegrationCodeCenter"": """", ""PersonIntegrationCodeClient"": null}",2026-07-10 17:01:27.403 -0400,2026-07-14 09:07:39.740 -0400
NUK8E76,Sem Rastreador,,,,,,,,"9882261N5LKD27607",,"",2026-07-10 16:54:32.742 -0400,2026-07-16 23:23:11.552 -0400
PHK5C66,Sem Rastreador,,,,,,,,"8AJBU3FS9H0020300",,"",2026-07-10 16:58:26.831 -0400,2026-07-16 23:23:11.580 -0400
QZY3B20,Sem Rastreador,,,,,,,,"8AWBJ6B2XRA821176",,"",2026-07-15 11:13:12.141 -0400,2026-07-16 23:23:11.604 -0400
TAB5C99,RastroSiga,32915.0,TAB-5C99,-3.0718266666666665,-60.00636,false,2026-07-16 16:56:00.000 -0400,2026-07-16 16:56:02.130 -0400,"9BWKL45U0SP016847","2450","{""Plate"": ""TAB-5C99"", ""Driver"": null, ""Address"": ""Avenida Tancredo Neves, Parque Dez de Novembro, Manaus, AM, Brasil, 69000-000"", ""IdEvent"": 2, ""Ignition"": false, ""Latitude"": -3.0718266666666665, ""ValidGPS"": true, ""Available"": null, ""EventDate"": ""2026-07-16T20:56:00Z"", ""Longitude"": -60.00636, ""IdPosition"": 279255076, ""UpdateDate"": ""2026-07-16T20:56:02.13Z"", ""ListTrailer"": null, ""TrackedUnit"": ""TAB-5C99"", ""TrackerSlot"": 1, ""IdTrackedUnit"": 2450, ""ListTelemetry"": {""2"": 13.0, ""6"": 63.0, ""8"": 100.0, ""15"": 32915.0, ""17"": 0.0}, ""DocumentNumber"": null, ""ListInputSensor"": {""17"": false}, ""IdTrackedUnitType"": 1, ""ListOutputActuator"": {}, ""DriverIdentification"": null, ""IdMainBatteryMeasureUnit"": 1, ""DistanceFromGeographicArea"": null, ""IdBackupBatteryMeasureUnit"": 2, ""TrackedUnitIntegrationCode"": null, ""PersonIntegrationCodeCenter"": """", ""PersonIntegrationCodeClient"": null}",2026-07-10 17:05:28.942 -0400,2026-07-16 23:23:11.618 -0400
TAD1G33,Vai,36044.0,TAD1G33,,,,2026-07-16 22:59:20.202 -0400,,"9BWAG5R13ST046325","210903142","{""plate"": ""TAD1G33"", ""chassis"": ""9BWAG5R13ST046325"", ""codigoVai"": ""210903142"", ""ecuChassis"": ""9BWAG5R13ST046325"", ""lastReview"": ""2026-04-01"", ""reviewStatus"": 0, ""currentMileage"": 35702.136999999995, ""initialMileage"": 1803, ""lastConnection"": ""2026-07-17T02:59:20.202617+00:00"", ""dailyMileageAvg"": 80.00604229607251, ""mileageOnReview"": 31135.673000000013, ""odometerMileage"": 36044.0, ""reviewDateEstimated"": ""2026-09-22""}",2026-07-10 16:53:42.622 -0400,2026-07-16 23:23:11.625 -0400
TAF6B72,Vai,32460.0,TAF6B72,,,,2026-07-16 22:14:47.233 -0400,,"9BWJL45U3SP058327","210302445","{""plate"": ""TAF6B72"", ""chassis"": ""9BWJL45U3SP058327"", ""codigoVai"": ""210302445"", ""ecuChassis"": ""9BWJL45U3SP058327"", ""lastReview"": ""2026-06-16"", ""reviewStatus"": 0, ""currentMileage"": 32551.354, ""initialMileage"": 734, ""lastConnection"": ""2026-07-17T02:14:47.233009+00:00"", ""dailyMileageAvg"": 71.37931034482759, ""mileageOnReview"": 30629.56599999999, ""odometerMileage"": 32460.0, ""reviewDateEstimated"": ""2026-11-07""}",2026-07-10 16:53:42.676 -0400,2026-07-16 23:23:11.630 -0400
TRX4D50,Vai,9172.0,TRX4D50,,,,2026-07-16 22:59:15.407 -0400,,"9BWAH5BZ9TT609103","241101537","{""plate"": ""TRX4D50"", ""chassis"": ""9BWAH5BZ9TT609103"", ""codigoVai"": ""241101537"", ""ecuChassis"": ""9BWAH5BZ9TT609103"", ""lastReview"": ""2026-05-20"", ""reviewStatus"": 0, ""currentMileage"": 8924.500999999995, ""initialMileage"": 210, ""lastConnection"": ""2026-07-17T02:59:15.407343+00:00"", ""dailyMileageAvg"": 25.274021352313166, ""mileageOnReview"": 8592.951, ""odometerMileage"": 9172.0, ""reviewDateEstimated"": ""2027-05-20""}",2026-07-10 16:53:42.923 -0400,2026-07-16 23:23:11.648 -0400
QZY3C40,Vai,19719.0,QZY3C40,,,,2026-07-13 15:04:49.574 -0400,,"9BWAG5R19ST032915","210901781","{""plate"": ""QZY3C40"", ""chassis"": ""9BWAG5R19ST032915"", ""codigoVai"": ""210901781"", ""ecuChassis"": ""9BWAG5R19ST032915"", ""lastReview"": ""2025-10-19"", ""reviewStatus"": 3, ""currentMileage"": 19430.55, ""initialMileage"": 2128, ""lastConnection"": ""2026-07-13T19:04:49.574978+00:00"", ""dailyMileageAvg"": 51.54646840148699, ""mileageOnReview"": 9713.0, ""odometerMileage"": 19719.0, ""reviewDateEstimated"": ""2026-07-22""}",2026-07-10 16:53:42.560 -0400,2026-07-16 23:23:11.605 -0400
