"codigo_veiculo","fipe","codigo_fipe","valor_fipe","valor_revenda","chassi","placa","ano_fabricacao","ano_modelo","updated_at"
"8831",TAOS Highline 1.4 250 TSI Flex Aut.,"005528-0",159570.00,140421.60,"8AWBJ6B25RA829041",TAE9H02,2025,2024,2026-07-16 15:11:36.447 -0400
"8829",Saveiro Robust 1.6 Total Flex 16V CD,"005537-9",84677.00,74515.76,"9BWJL45UXSP057787",TAF6B62,2025,2025,2026-07-16 15:11:36.447 -0400
"8828",Saveiro Robust 1.6 Total Flex 16V CD,"005537-9",84677.00,74515.76,"9BWJL45U3SP058327",TAF6B72,2025,2025,2026-07-16 15:11:36.447 -0400
"8830",Saveiro Robust 1.6 Total Flex 16V CD,"005537-9",84677.00,74515.76,"9BWJL45U6SP057303",TAF6B82,2025,2025,2026-07-16 15:11:36.447 -0400
"5919",Polo Track 1.0 Flex 12V 5p,"005540-9",69770.00,61397.60,"9BWAG5R12RT053499",TAF7D74,2024,2024,2026-07-16 15:11:36.447 -0400
"8832",Polo Highline TSI 1.0 Flex 12V Aut.,"005536-0",105571.00,92902.48,"9BWAH5BZ0ST654655",TAF9D92,2025,2025,2026-07-16 15:11:36.447 -0400
"5978",Saveiro Extreme 1.6 Flex 16V CD,"005546-8",100480.00,88422.40,"9BWJL45U1SP029277",TAG2F40,2025,2024,2026-07-16 15:11:36.447 -0400
"6490",Strada Freedom 1.3 Flex 8V CD,"001530-0",100131.00,88115.28,"9BD281BKHSYG32724",TAG4F03,2025,2024,2026-07-16 15:11:36.447 -0400
"6491",Strada Freedom 1.3 Flex 8V CD,"001530-0",100131.00,88115.28,"9BD281BKHSYG32732",TAG4F23,2025,2024,2026-07-16 15:11:36.447 -0400
"6706",Nivus Comfortline 1.0 200 TSI Flex Aut.,"005525-5",105439.00,92786.32,"9BWCH6CH4RP090659",TAG7I13,2024,2024,2026-07-16 15:11:36.447 -0400
"6705",Nivus Comfortline 1.0 200 TSI Flex Aut.,"005525-5",105439.00,92786.32,"9BWCH6CH0RP095258",TAG7I23,2024,2024,2026-07-16 15:11:36.447 -0400
"5917",Polo Track 1.0 Flex 12V 5p,"005540-9",69770.00,61397.60,"9BWAG5R10RT053517",TAH0F24,2024,2024,2026-07-16 15:11:36.447 -0400
"5930",Polo Track 1.0 Flex 12V 5p,"005540-9",69770.00,61397.60,"9BWAG5R18RT053488",TAH2E14,2024,2024,2026-07-16 15:11:36.447 -0400
"5918",Polo Track 1.0 Flex 12V 5p,"005540-9",69770.00,61397.60,"9BWAG5R11RT053512",TAH2G24,2024,2024,2026-07-16 15:11:36.447 -0400
"9140",VIRTUS TSI 1.0 Flex 12V 4p Mec.,"005542-5",96459.00,84883.92,"9BWDH6BZ8SP031747",TRX1C63,2025,2025,2026-07-16 15:11:36.447 -0400
"12571",T-Cross 200 TSI 1.0  Flex 12V 5p Aut.,"005510-7",119193.00,104889.84,"9BWBH6BF4S4093273",TRX3G70,2025,2025,2026-07-16 15:11:36.447 -0400
"10518",Saveiro Robust 1.6 Total Flex 16V CD,"005537-9",84677.00,74515.76,"9BWJL45U0TP008339",TRX3J20,2026,2025,2026-07-16 15:11:36.447 -0400
"12573",Polo Highline TSI 1.0 Flex 12V Aut.,"005536-0",105571.00,92902.48,"9BWAH5BZ9TT609103",TRX4D50,2026,2025,2026-07-16 15:11:36.447 -0400
"12575",T-Cross 200 TSI 1.0  Flex 12V 5p Aut.,"005510-7",119193.00,104889.84,"9BWBH6BF5S4090222",TRX4D70,2025,2025,2026-07-16 15:11:36.447 -0400
"10057",VIRTUS TSI 1.0 Flex 12V 4p Aut.,"005543-3",102482.00,90184.16,"9BWDH6BZ6T4001598",TRX4E10,2026,2025,2026-07-16 15:11:36.447 -0400
"12610",Polo Highline TSI 1.0 Flex 12V Aut.,"005536-0",105571.00,92902.48,"9BWAH5BZ7TT609438",TRX4F50,2026,2025,2026-07-16 15:11:36.447 -0400
"12782",VIRTUS TSI 1.0 Flex 12V 4p Mec.,"005542-5",96459.00,84883.92,"9BWDH6BZ7T4002565",TRX4H40,2026,2025,2026-07-16 15:11:36.447 -0400
"12875",VIRTUS TSI 1.0 Flex 12V 4p Aut.,"005543-3",102482.00,90184.16,"9BWDH6BZ8TP003030",TRX4H60,2026,2025,2026-07-16 15:11:36.447 -0400
"9177",Nivus Highline 1.0 200 TSI Flex Aut.,"005526-3",129831.00,114251.28,"9BWCH6CH2SP017750",TRY6C33,2025,2025,2026-07-16 15:11:36.447 -0400
"9171",Polo Track 1.0 Flex 12V 5p,"005540-9",75779.00,66685.52,"9BWAG5R11ST077007",TRY6C63,2025,2025,2026-07-16 15:11:36.447 -0400
"9172",Polo Track 1.0 Flex 12V 5p,"005540-9",75779.00,66685.52,"9BWAG5R19ST077000",TRY6C73,2025,2025,2026-07-16 15:11:36.447 -0400
"9175",Polo Track 1.0 Flex 12V 5p,"005540-9",75779.00,66685.52,"9BWAG5R18ST076999",TRY6D33,2025,2025,2026-07-16 15:11:36.447 -0400
"8835",Gran Micro Rodoviário (diesel)(E6),"529005-8",393914.00,346644.32,"953AD6TF1SR019887",TRY8A40,2025,2024,2026-07-16 15:11:36.447 -0400
"10026",VIRTUS Highline 200 TSI 1.0 Flex 12V Aut,"005484-4",119576.00,105226.88,"9BWDH6BZ6SP035327",TRY9D64,2025,2025,2026-07-16 15:11:36.447 -0400
"10031",Polo Track 1.0 Flex 12V 5p,"005540-9",75779.00,66685.52,"9BWAG5R1XST082660",TRY9E14,2025,2025,2026-07-16 15:11:36.447 -0400
"10030",Polo Track 1.0 Flex 12V 5p,"005540-9",75779.00,66685.52,"9BWAG5R1XST082674",TRY9E34,2025,2025,2026-07-16 15:11:36.447 -0400
"10029",Polo Track 1.0 Flex 12V 5p,"005540-9",75779.00,66685.52,"9BWAG5R10ST082473",TRY9E44,2025,2025,2026-07-16 15:11:36.447 -0400
"10381",Polo Track 1.0 Flex 12V 5p,"005540-9",75779.00,66685.52,"9BWAG5R15ST085479",TRY9I15,2025,2025,2026-07-16 15:11:36.447 -0400
"10384",Polo Track 1.0 Flex 12V 5p,"005540-9",75779.00,66685.52,"9BWAG5R15ST085448",TRY9I35,2025,2025,2026-07-16 15:11:36.447 -0400
"10383",Polo Track 1.0 Flex 12V 5p,"005540-9",75779.00,66685.52,"9BWAG5R16ST084101",TRY9I85,2025,2025,2026-07-16 15:11:36.447 -0400
"10386",Nivus Highline 1.0 200 TSI Flex Aut.,"005526-3",129831.00,114251.28,"9BWCH6CH5SP022134",TRY9J05,2025,2025,2026-07-16 15:11:36.447 -0400
"10382",Polo Track 1.0 Flex 12V 5p,"005540-9",75779.00,66685.52,"9BWAG5R16ST084129",TRZ0A25,2025,2025,2026-07-16 15:11:36.447 -0400
"10388",Nivus Highline 1.0 200 TSI Flex Aut.,"005526-3",129831.00,114251.28,"9BWCH6CH6SP020862",TRZ2J15,2025,2025,2026-07-16 15:11:36.447 -0400
"49077",Tera Comfort 1.0 170 TSI Flex 12V 5p Aut,"005555-7",118000.00,103840.00,"9BWBH6DF7TT398349",TRZ3J30,2026,2026,2026-07-16 15:11:36.447 -0400
"9176",TAOS Highline 1.4 250 TSI Flex Aut.,"005528-0",159570.00,140421.60,"8AWBJ6B24RA833078",TRZ6E93,2025,2024,2026-07-16 15:11:36.447 -0400
"10387",Nivus Comfortline 1.0 200 TSI Flex Aut.,"005525-5",121682.00,107080.16,"9BWCH6CH9SP023271",TSA0A05,2025,2025,2026-07-16 15:11:36.447 -0400
